Tournament,Date,Team_1,Team_2,Score_1,Score_2
2019-EUCRC,2019-08-24,Family Ultimate,Gentle Open,11,12
2019-EUCRC,2019-08-24,Mooncatchers,Frank N,13,11
2019-EUCRC,2019-08-24,Force Elektro 1,KFK - Copenhagen Frisbee Club,3,13
2019-EUCRC,2019-08-24,HELGTRE OPEN,Heidees,9,13
2019-EUCRC,2019-08-24,M.U.C.,KFK - Copenhagen Frisbee Club,13,9
2019-EUCRC,2019-08-24,Bad Skid,Gentle Open,13,8
2019-EUCRC,2019-08-24,Ragnarok,Frank N,12,9
2019-EUCRC,2019-08-24,7Schwaben,Heidees,7,13
2019-EUCRC,2019-08-24,M.U.C.,Force Elektro 1,13,6
2019-EUCRC,2019-08-24,7Schwaben,HELGTRE OPEN,13,9
2019-EUCRC,2019-08-24,Bad Skid,Family Ultimate,13,9
2019-EUCRC,2019-08-24,Ragnarok,Mooncatchers,9,13
2019-EUCRC,2019-08-24,Gentle Open,Frank N,13,10
2019-EUCRC,2019-08-24,Ragnarok,Family Ultimate,13,11
2019-EUCRC,2019-08-24,KFK - Copenhagen Frisbee Club,HELGTRE OPEN,13,3
2019-EUCRC,2019-08-24,7Schwaben,Force Elektro 1,13,5
2019-EUCRC,2019-08-24,Bad Skid,KFK - Copenhagen Frisbee Club,13,8
2019-EUCRC,2019-08-24,Mooncatchers,7Schwaben,9,13
2019-EUCRC,2019-08-24,M.U.C.,Gentle Open,13,12
2019-EUCRC,2019-08-24,Heidees,Ragnarok,13,10
2019-EUCRC,2019-08-25,HELGTRE OPEN,Family Ultimate,13,12
2019-EUCRC,2019-08-25,Force Elektro 1,Frank N,9,13
2019-EUCRC,2019-08-25,KFK - Copenhagen Frisbee Club,Ragnarok,13,3
2019-EUCRC,2019-08-25,Mooncatchers,Gentle Open,13,7
2019-EUCRC,2019-08-25,Bad Skid,Heidees,13,11
2019-EUCRC,2019-08-25,7Schwaben,M.U.C.,6,13
2019-EUCRC,2019-08-25,HELGTRE OPEN,Frank N,9,13
2019-EUCRC,2019-08-25,Family Ultimate,Force Elektro 1,13,6
2019-EUCRC,2019-08-25,KFK - Copenhagen Frisbee Club,Mooncatchers,11,13
2019-EUCRC,2019-08-25,Ragnarok,Gentle Open,13,12
2019-EUCRC,2019-08-25,Bad Skid,M.U.C.,13,9
2019-EUCRC,2019-08-25,Heidees,7Schwaben,13,8
2019-EUCRE,2019-08-23,THE BRIDGE,Gigolo,15,12
2019-EUCRE,2019-08-23,Uprising,thebigEZ,10,15
2019-EUCRE,2019-08-23,Yellow Block open,Catchup Graz,10,15
2019-EUCRE,2019-08-23,Cosmo Men,Prague Devils,9,15
2019-EUCRE,2019-08-23,FWD>>,Mojra,15,14
2019-EUCRE,2019-08-23,FUJ,Terrible Monkeys,15,9
2019-EUCRE,2019-08-23,Catchup Graz,Gigolo,15,10
2019-EUCRE,2019-08-23,THE BRIDGE,thebigEZ,11,15
2019-EUCRE,2019-08-23,Uprising,Yellow Block open,15,10
2019-EUCRE,2019-08-23,FWD>>,Terrible Monkeys,15,11
2019-EUCRE,2019-08-23,FUJ,Cosmo Men,15,12
2019-EUCRE,2019-08-23,Prague Devils,Mojra,15,14
2019-EUCRE,2019-08-24,Cosmo Men,Terrible Monkeys,9,15
2019-EUCRE,2019-08-24,FWD>>,Prague Devils,15,10
2019-EUCRE,2019-08-24,FUJ,Mojra,15,11
2019-EUCRE,2019-08-24,Uprising,Gigolo,15,5
2019-EUCRE,2019-08-24,THE BRIDGE,Catchup Graz,7,15
2019-EUCRE,2019-08-24,Yellow Block open,thebigEZ,14,15
2019-EUCRE,2019-08-24,FUJ,FWD>>,15,13
2019-EUCRE,2019-08-24,Cosmo Men,Mojra,15,14
2019-EUCRE,2019-08-24,Terrible Monkeys,Prague Devils,11,15
2019-EUCRE,2019-08-24,thebigEZ,Catchup Graz,15,8
2019-EUCRE,2019-08-24,Uprising,THE BRIDGE,9,15
2019-EUCRE,2019-08-24,Yellow Block open,Gigolo,15,10
2019-EUCRE,2019-08-24,FUJ,Prague Devils,15,11
2019-EUCRE,2019-08-24,FWD>>,Cosmo Men,15,13
2019-EUCRE,2019-08-24,Terrible Monkeys,Mojra,7,15
2019-EUCRE,2019-08-24,thebigEZ,Gigolo,15,6
2019-EUCRE,2019-08-24,THE BRIDGE,Yellow Block open,15,11
2019-EUCRE,2019-08-24,Uprising,Catchup Graz,13,15
2019-EUCRE,2019-08-25,FUJ,Catchup Graz,15,11
2019-EUCRE,2019-08-25,thebigEZ,FWD>>,11,13
2019-EUCRE,2019-08-25,Prague Devils,Uprising,9,6
2019-EUCRE,2019-08-25,THE BRIDGE,Mojra,10,13
2019-EUCRE,2019-08-25,Catchup Graz,thebigEZ,0,1
2019-EUCRE,2019-08-25,Prague Devils,Mojra,12,14
2019-EUCRE,2019-08-25,Catchup Graz,Mojra,0,1
2019-EUCRN,2019-08-03,PirU,Me & My Monkey,14,12
2019-EUCRN,2019-08-03,RealFive,Shadows,15,5
2019-EUCRN,2019-08-03,Sokol,Rampage,7,10
2019-EUCRN,2019-08-03,JuPiter,Flying Steps,9,8
2019-EUCRN,2019-08-03,RealFive,Rampage,15,11
2019-EUCRN,2019-08-03,Sokol,Shadows,15,12
2019-EUCRN,2019-08-03,PirU,Flying Steps,13,7
2019-EUCRN,2019-08-03,JuPiter,Me & My Monkey,15,10
2019-EUCRN,2019-08-03,PirU,JuPiter,11,15
2019-EUCRN,2019-08-03,Rampage,Shadows,15,10
2019-EUCRN,2019-08-03,RealFive,Sokol,12,10
2019-EUCRN,2019-08-03,Flying Steps,Me & My Monkey,6,12
2019-EUCRN,2019-08-04,RealFive,PirU,15,7
2019-EUCRN,2019-08-04,JuPiter,Rampage,8,11
2019-EUCRN,2019-08-04,Sokol,Flying Steps,12,13
2019-EUCRN,2019-08-04,Me & My Monkey,Shadows,9,15
2019-EUCRN,2019-08-04,RealFive,Rampage,15,1
2019-EUCRN,2019-08-04,PirU,JuPiter,9,10
2019-EUCRN,2019-08-04,Flying Steps,Shadows,11,9
2019-EUCRN,2019-08-04,Sokol,Me & My Monkey,14,10
2019-EUCRS,2019-08-31,Donkey Divers,Flying Angels Bern,11,15
2019-EUCRS,2019-08-31,Cusb Red Bulls,Iznogood,10,15
2019-EUCRS,2019-08-31,Freespeed,Tchac,15,10
2019-EUCRS,2019-08-31,CUSB La Fotta,Crazy Dogs I,15,8
2019-EUCRS,2019-08-31,Iznogood,Tchac,12,11
2019-EUCRS,2019-08-31,CUSB La Fotta,Cotarica Grandes,15,6
2019-EUCRS,2019-08-31,Freespeed,Panthers Bern,15,12
2019-EUCRS,2019-08-31,Flying Angels Bern,Crazy Dogs I,15,14
2019-EUCRS,2019-08-31,CUSB La Fotta,Flying Angels Bern,15,8
2019-EUCRS,2019-08-31,Freespeed,Iznogood,13,14
2019-EUCRS,2019-08-31,Cotarica Grandes,Donkey Divers,14,13
2019-EUCRS,2019-08-31,Panthers Bern,Cusb Red Bulls,11,15
2019-EUCRS,2019-09-01,Crazy Dogs I,Cotarica Grandes,15,10
2019-EUCRS,2019-09-01,Freespeed,Cusb Red Bulls,15,13
2019-EUCRS,2019-09-01,Tchac,Panthers Bern,11,15
2019-EUCRS,2019-09-01,CUSB La Fotta,Donkey Divers,15,7
2019-EUCRS,2019-09-01,Iznogood,Panthers Bern,15,7
2019-EUCRS,2019-09-01,Flying Angels Bern,Cotarica Grandes,15,6
2019-EUCRS,2019-09-01,Cusb Red Bulls,Tchac,13,11
2019-EUCRS,2019-09-01,Donkey Divers,Crazy Dogs I,11,15
2019-EUCRS,2019-09-01,CUSB La Fotta,Iznogood,15,6
2019-EUCRS,2019-09-01,Flying Angels Bern,Freespeed,13,14
2019-EUCRS,2019-09-01,Crazy Dogs I,Cusb Red Bulls,9,15
2019-EUCRS,2019-09-01,Cotarica Grandes,Panthers Bern,13,11
2019-EUCRS,2019-09-01,Donkey Divers,Tchac,9,15
2019-EUCRW,2019-08-24,Clapham Ultimate,BAF,15,4
2019-EUCRW,2019-08-24,Devon Ultimate,Fire of London,15,4
2019-EUCRW,2019-08-24,EMO 1,Rebel Ultimate,11,15
2019-EUCRW,2019-08-24,Ranelagh,XVI,15,12
2019-EUCRW,2019-08-24,Manchester Ultimate,Alba,5,15
2019-EUCRW,2019-08-24,YOpen,Chevron Action Flash,3,15
2019-EUCRW,2019-08-24,Brighton Open,Ka-Pow!,14,15
2019-EUCRW,2019-08-24,Bristol Open 1,PELT Ultimate,3,15
2019-EUCRW,2019-08-24,BAF,EMO 1,7,15
2019-EUCRW,2019-08-24,Manchester Ultimate,YOpen,13,14
2019-EUCRW,2019-08-24,Fire of London,Brighton Open,11,12
2019-EUCRW,2019-08-24,XVI,Bristol Open 1,15,6
2019-EUCRW,2019-08-24,Devon Ultimate,Ka-Pow!,15,9
2019-EUCRW,2019-08-24,Alba,Chevron Action Flash,12,13
2019-EUCRW,2019-08-24,Ranelagh,PELT Ultimate,12,9
2019-EUCRW,2019-08-24,Clapham Ultimate,Rebel Ultimate,15,6
2019-EUCRW,2019-08-24,Bristol Open 1,BAF,11,15
2019-EUCRW,2019-08-24,Fire of London,Manchester Ultimate,15,12
2019-EUCRW,2019-08-24,Alba,EMO 1,15,5
2019-EUCRW,2019-08-24,Rebel Ultimate,YOpen,15,5
2019-EUCRW,2019-08-24,Ka-Pow!,XVI,8,15
2019-EUCRW,2019-08-24,PELT Ultimate,Brighton Open,15,8
2019-EUCRW,2019-08-24,Clapham Ultimate,Ranelagh,15,4
2019-EUCRW,2019-08-24,Devon Ultimate,Chevron Action Flash,6,15
2019-EUCRW,2019-08-25,EMO 1,Ka-Pow!,15,13
2019-EUCRW,2019-08-25,YOpen,Brighton Open,10,15
2019-EUCRW,2019-08-25,Alba,XVI,15,13
2019-EUCRW,2019-08-25,PELT Ultimate,Rebel Ultimate,14,15
2019-EUCRW,2019-08-25,Bristol Open 1,Fire of London,14,15
2019-EUCRW,2019-08-25,Manchester Ultimate,BAF,15,10
2019-EUCRW,2019-08-25,Devon Ultimate,Ranelagh,7,15
2019-EUCRW,2019-08-25,Alba,Rebel Ultimate,15,13
2019-EUCRW,2019-08-25,Clapham Ultimate,Chevron Action Flash,15,10
2019-EUCRW,2019-08-25,EMO 1,Brighton Open,13,9
2019-EUCRW,2019-08-25,YOpen,Ka-Pow!,1,15
2019-EUCRW,2019-08-25,XVI,PELT Ultimate,13,14
2019-EUCRW,2019-08-25,Bristol Open 1,Manchester Ultimate,13,15
2019-EUCRW,2019-08-25,Fire of London,BAF,15,8
2019-EUCRW,2019-08-25,Devon Ultimate,Alba,10,15
DFV-Pokal Open,2019-08-15,M.U.C.,Hässliche Erdferkel,15,7
DFV-Pokal Open,2019-08-15,Frank N,7Schwaben,15,13
DFV-Pokal Open,2019-08-15,Frizzly Bears,2M.U.C.L,15,9
DFV-Pokal Open,2019-08-15,Hucks Ultimate Berlin,Kiel2,15,12
DFV-Pokal Open,2019-08-15,Bad Skid,Wall City,15,5
DFV-Pokal Open,2019-08-15,Family Ultimate,Heidees,13,15
DFV-Pokal Open,2019-08-15,Hardfisch,Disckick,15,8
DFV-Pokal Open,2019-08-15,Ars Ludendi,Funatics,15,8
DFV-Pokal Open,2019-08-15,M.U.C.,Frank N,15,10
DFV-Pokal Open,2019-08-15,7Schwaben,Hucks Ultimate Berlin,15,5
DFV-Pokal Open,2019-08-15,Frizzly Bears,Hässliche Erdferkel,15,13
DFV-Pokal Open,2019-08-15,2M.U.C.L,Kiel2,12,15
DFV-Pokal Open,2019-08-15,Bad Skid,Heidees,15,8
DFV-Pokal Open,2019-08-15,Family Ultimate,Ars Ludendi,15,10
DFV-Pokal Open,2019-08-15,Hardfisch,Wall City,15,14
DFV-Pokal Open,2019-08-15,Disckick,Funatics,15,9
DFV-Pokal Open,2019-08-15,Bad Skid,Frizzly Bears,15,4
DFV-Pokal Open,2019-08-15,Frank N,Family Ultimate,13,15
DFV-Pokal Open,2019-08-15,M.U.C.,Hardfisch,15,14
DFV-Pokal Open,2019-08-15,Heidees,7Schwaben,9,15
DFV-Pokal Open,2019-08-15,Bad Skid,Family Ultimate,15,8
DFV-Pokal Open,2019-08-15,M.U.C.,7Schwaben,15,14
DFV-Pokal Open,2019-08-15,Frizzly Bears,Frank N,10,15
DFV-Pokal Open,2019-08-15,Hardfisch,Heidees,14,15
DFV-Pokal Open,2019-08-15,Family Ultimate,7Schwaben,9,15
DFV-Pokal Open,2019-08-15,Frank N,Heidees,10,15
DFV-Pokal Open,2019-08-15,Frizzly Bears,Hardfisch,8,15
DFV-Pokal Open,2019-08-15,Bad Skid,M.U.C.,15,8
DFV-Pokal Open,2019-08-15,Hässliche Erdferkel,Funatics,15,14
DFV-Pokal Open,2019-08-15,Ars Ludendi,Kiel2,15,8
DFV-Pokal Open,2019-08-15,Wall City,2M.U.C.L,15,7
DFV-Pokal Open,2019-08-15,Hucks Ultimate Berlin,Disckick,10,15
DFV-Pokal Open,2019-08-15,Hässliche Erdferkel,Ars Ludendi,12,15
DFV-Pokal Open,2019-08-15,Wall City,Disckick,15,12
DFV-Pokal Open,2019-08-15,Funatics,Kiel2,11,15
DFV-Pokal Open,2019-08-15,2M.U.C.L,Hucks Ultimate Berlin,8,15
DFV-Pokal Open,2019-08-15,Ars Ludendi,Wall City,6,15
DFV-Pokal Open,2019-08-15,Hässliche Erdferkel,Disckick,9,15
DFV-Pokal Open,2019-08-15,Kiel2,Hucks Ultimate Berlin,13,15
DFV-Pokal Open,2019-08-15,Funatics,2M.U.C.L,10,15
French Champ Open 1,2019-06-08,Tchac,Raging Bananas,15,10
French Champ Open 1,2019-06-08,Tchac,Freezgo Uno,15,5
French Champ Open 1,2019-06-08,Tchac,Magic Disc,15,9
French Champ Open 1,2019-06-08,Tchac,33 Tours,15,12
French Champ Open 1,2019-06-08,Tchac,BTRex,15,9
French Champ Open 1,2019-06-08,Raging Bananas,Freezgo Uno,15,7
French Champ Open 1,2019-06-08,Raging Bananas,Magic Disc,12,11
French Champ Open 1,2019-06-08,Raging Bananas,33 Tours,14,15
French Champ Open 1,2019-06-08,Raging Bananas,BTRex,15,9
French Champ Open 1,2019-06-08,Freezgo Uno,Magic Disc,4,15
French Champ Open 1,2019-06-08,Freezgo Uno,33 Tours,10,15
French Champ Open 1,2019-06-08,Freezgo Uno,BTRex,8,15
French Champ Open 1,2019-06-08,Magic Disc,33 Tours,12,15
French Champ Open 1,2019-06-08,Magic Disc,BTRex,15,9
French Champ Open 1,2019-06-08,33 Tours,BTRex,15,10
French Champ Open 1,2019-06-08,Iznogood,Discobols,15,8
French Champ Open 1,2019-06-08,Iznogood,Friselis,15,8
French Champ Open 1,2019-06-08,Iznogood,Ah Ouh Puc,15,12
French Champ Open 1,2019-06-08,Iznogood,Tourne-Disc,15,9
French Champ Open 1,2019-06-08,Iznogood,Sun,15,9
French Champ Open 1,2019-06-08,Discobols,Friselis,9,15
French Champ Open 1,2019-06-08,Discobols,Ah Ouh Puc,13,15
French Champ Open 1,2019-06-08,Discobols,Tourne-Disc,8,15
French Champ Open 1,2019-06-08,Discobols,Sun,15,9
French Champ Open 1,2019-06-08,Friselis,Ah Ouh Puc,15,3
French Champ Open 1,2019-06-08,Friselis,Tourne-Disc,14,11
French Champ Open 1,2019-06-08,Friselis,Sun,15,9
French Champ Open 1,2019-06-08,Ah Ouh Puc,Tourne-Disc,15,8
French Champ Open 1,2019-06-08,Ah Ouh Puc,Sun,15,12
French Champ Open 1,2019-06-08,Tourne-Disc,Sun,12,15
French Champ Open 1,2019-06-08,Tchac,Iznogood,15,11
French Champ Open 1,2019-06-08,Tchac,33 Tours,15,5
French Champ Open 1,2019-06-08,Tchac,Friselis,15,10
French Champ Open 1,2019-06-08,Tchac,Raging Bananas,15,10
French Champ Open 1,2019-06-08,Tchac,Ah Ouh Puc,15,10
French Champ Open 1,2019-06-08,Iznogood,33 Tours,15,13
French Champ Open 1,2019-06-08,Iznogood,Friselis,15,7
French Champ Open 1,2019-06-08,Iznogood,Raging Bananas,15,9
French Champ Open 1,2019-06-08,Iznogood,Ah Ouh Puc,15,9
French Champ Open 1,2019-06-08,33 Tours,Friselis,11,15
French Champ Open 1,2019-06-08,34 Tours,Raging Bananas,11,15
French Champ Open 1,2019-06-08,35 Tours,Ah Ouh Puc,14,15
French Champ Open 1,2019-06-08,Friselis,Raging Bananas,15,10
French Champ Open 1,2019-06-08,Friselis,Ah Ouh Puc,15,7
French Champ Open 1,2019-06-08,Raging Bananas,Ah Ouh Puc,11,15
French Champ Open 1,2019-06-08,Magic Disc,Tourne-Disc,15,8
French Champ Open 1,2019-06-08,Magic Disc,BTRex,15,9
French Champ Open 1,2019-06-08,Magic Disc,Discobols,11,15
French Champ Open 1,2019-06-08,Magic Disc,Freezgo Uno,12,15
French Champ Open 1,2019-06-08,Magic Disc,Sun,15,14
French Champ Open 1,2019-06-08,Tourne-Disc,BTRex,15,13
French Champ Open 1,2019-06-08,Tourne-Disc,Discobols,5,15
French Champ Open 1,2019-06-08,Tourne-Disc,Freezgo Uno,10,13
French Champ Open 1,2019-06-08,Tourne-Disc,Sun,8,15
French Champ Open 1,2019-06-08,BTRex,Discobols,14,15
French Champ Open 1,2019-06-08,BTRex,Freezgo Uno,12,15
French Champ Open 1,2019-06-08,BTRex,Sun,15,9
French Champ Open 1,2019-06-08,Discobols,Freezgo Uno,8,15
French Champ Open 1,2019-06-08,Discobols,Sun,15,12
French Champ Open 1,2019-06-08,Freezgo Uno,Sun,13,15
French Champ Open 1,2019-06-08,Tchac,Ah Ouh Puc,15,6
French Champ Open 1,2019-06-08,Iznogood,Friselis,13,9
French Champ Open 1,2019-06-08,Raging Bananas,Discobols,15,3
French Champ Open 1,2019-06-08,33 Tours,Freezgo Uno,15,9
French Champ Open 1,2019-06-08,Magic Disc,Tourne-Disc,15,8
French Champ Open 1,2019-06-08,Sun,BTRex,14,15
French Champ Open 1,2019-06-08,Tchac,Iznogood,9,15
French Champ Open 1,2019-06-08,Ah Ouh Puc,Friselis,15,11
French Champ Open 1,2019-06-08,Raging Bananas,33 Tours,15,14
French Champ Open 1,2019-06-08,Discobols,Freezgo Uno,11,15
French Champ Open 1,2019-06-08,Magic Disc,BTRex,15,9
French Champ Open 1,2019-06-08,Tourne-Disc,Sun,11,15
Nationals,2019-08-24,Clapham Ultimate,BAF,15,4
Nationals,2019-08-24,Devon Ultimate,Fire of London,15,4
Nationals,2019-08-24,EMO 1,Rebel Ultimate,11,15
Nationals,2019-08-24,Ranelagh,XVI,15,12
Nationals,2019-08-24,Manchester Ultimate,Alba,5,15
Nationals,2019-08-24,YOpen,Chevron Action Flash,3,15
Nationals,2019-08-24,Brighton Open,Ka-Pow!,14,15
Nationals,2019-08-24,Bristol Open 1,PELT Ultimate,3,15
Nationals,2019-08-24,BAF,EMO 1,7,15
Nationals,2019-08-24,Manchester Ultimate,YOpen,13,14
Nationals,2019-08-24,Fire of London,Brighton Open,11,12
Nationals,2019-08-24,XVI,Bristol Open 1,15,6
Nationals,2019-08-24,Devon Ultimate,Ka-Pow!,15,9
Nationals,2019-08-24,Alba,Chevron Action Flash,12,13
Nationals,2019-08-24,Ranelagh,PELT Ultimate,12,9
Nationals,2019-08-24,Clapham Ultimate,Rebel Ultimate,15,6
Nationals,2019-08-24,Bristol Open 1,BAF,11,15
Nationals,2019-08-24,Fire of London,Manchester Ultimate,15,12
Nationals,2019-08-24,Alba,EMO 1,15,5
Nationals,2019-08-24,Rebel Ultimate,YOpen,15,5
Nationals,2019-08-24,Ka-Pow!,XVI,8,15
Nationals,2019-08-24,PELT Ultimate,Brighton Open,15,8
Nationals,2019-08-24,Clapham Ultimate,Ranelagh,15,4
Nationals,2019-08-24,Devon Ultimate,Chevron Action Flash,6,15
Nationals,2019-08-25,EMO 1,Ka-Pow!,15,13
Nationals,2019-08-25,YOpen,Brighton Open,10,15
Nationals,2019-08-25,Alba,XVI,15,13
Nationals,2019-08-25,PELT Ultimate,Rebel Ultimate,14,15
Nationals,2019-08-25,Bristol Open 1,Fire of London,14,15
Nationals,2019-08-25,Manchester Ultimate,BAF,15,10
Nationals,2019-08-25,Devon Ultimate,Ranelagh,7,15
Nationals,2019-08-25,Alba,Rebel Ultimate,15,13
Nationals,2019-08-25,Clapham Ultimate,Chevron Action Flash,15,10
Nationals,2019-08-25,EMO 1,Brighton Open,13,9
Nationals,2019-08-25,YOpen,Ka-Pow!,1,15
Nationals,2019-08-25,XVI,PELT Ultimate,13,14
Nationals,2019-08-25,Bristol Open 1,Manchester Ultimate,13,15
Nationals,2019-08-25,Fire of London,BAF,15,8
Nationals,2019-08-25,Devon Ultimate,Alba,10,15
Open 1. Liga,2019-06-06,Kiel2,Frank N,11,15
Open 1. Liga,2019-06-06,Frizzly Bears,Heidees,13,15
Open 1. Liga,2019-06-06,Bad Skid,BORA,15,9
Open 1. Liga,2019-06-06,Hässliche Erdferkel,Hucks Ultimate Berlin,15,11
Open 1. Liga,2019-06-06,Frank N,Frizzly Bears,14,15
Open 1. Liga,2019-06-06,Heidees,Kiel2,15,13
Open 1. Liga,2019-06-06,Hucks Ultimate Berlin,Bad Skid,7,15
Open 1. Liga,2019-06-06,BORA,Hässliche Erdferkel,13,15
Open 1. Liga,2019-06-06,Frank N,Heidees,11,15
Open 1. Liga,2019-06-06,Frizzly Bears,Kiel2,15,11
Open 1. Liga,2019-06-06,Bad Skid,Hässliche Erdferkel,15,11
Open 1. Liga,2019-06-06,BORA,Hucks Ultimate Berlin,15,10
Open 1. Liga,2019-06-06,Frank N,Hucks Ultimate Berlin,15,9
Open 1. Liga,2019-06-06,Hässliche Erdferkel,Frizzly Bears,10,15
Open 1. Liga,2019-06-06,Bad Skid,Kiel2,15,10
Open 1. Liga,2019-06-06,Heidees,BORA,15,11
Open 1. Liga,2019-06-06,Hässliche Erdferkel,Frank N,12,15
Open 1. Liga,2019-06-06,Hucks Ultimate Berlin,Frizzly Bears,6,15
Open 1. Liga,2019-06-06,Heidees,Bad Skid,8,15
Open 1. Liga,2019-06-06,Kiel2,BORA,8,15
Open 1. Liga,2019-06-06,Hucks Ultimate Berlin,Heidees,14,15
Open 1. Liga,2019-06-06,Kiel2,Hässliche Erdferkel,11,15
Open 1. Liga,2019-06-06,Frizzly Bears,Bad Skid,2,15
Open 1. Liga,2019-06-06,BORA,Frank N,15,9
Open 1. Liga,2019-06-06,Heidees,Hässliche Erdferkel,9,15
Open 1. Liga,2019-06-06,Hucks Ultimate Berlin,Kiel2,15,14
Open 1. Liga,2019-06-06,Bad Skid,Frank N,15,8
Open 1. Liga,2019-06-06,Frizzly Bears,BORA,14,15
Open 1. Liga,2019-06-06,Funatics,Family Ultimate,11,15
Open 1. Liga,2019-06-06,Hardfisch,7Schwaben,13,15
